State, Candidate Number, Money (R$ Reais), Votes
AC , 1919 , 35504.34 , 515
AC , 1212 , 397136.76 , 11397
AC , 5012 , 1580.00 , 15
AC , 1321 , 66093.33 , 1913
AC , 1144 , 296327.21 , 13610
AC , 4321 , 1023.06 , 665
AC , 2222 , 676810.38 , 13431
AC , 1122 , 86645.00 , 6707
AC , 1123 , 44979.90 , 2354
AC , 9090 , 150900.75 , 1994
AC , 5533 , 546471.72 , 17300
AC , 3131 , 103850.00 , 5871
AC , 5524 , 24109.12 , 956
AC , 4554 , 3199.00 , 227
AC , 4343 , 52319.07 , 1377
AC , 5051 , 3180.04 , 383
AC , 5500 , 5400.00 , 245
AC , 2525 , 201822.20 , 6451
AC , 1111 , 78021.60 , 2866
AC , 5431 , 0.00 , 237
AC , 4040 , 339750.98 , 26448
AC , 6513 , 117446.27 , 13738
AC , 5050 , 1580.00 , 37
AC , 1733 , 0.00 , 5
AC , 1310 , 29950.00 , 1025
AC , 7070 , 13207.80 , 1154
AC , 4510 , 15797.20 , 924
AC , 7777 , 174081.85 , 4717
AC , 1112 , 99993.40 , 186
AC , 1377 , 0.00 , 103
AC , 2323 , 17717.50 , 3487
AC , 1400 , 560422.02 , 3842
AC , 1012 , 470999.17 , 17903
AC , 2500 , 530.08 , 962
AC , 2727 , 49715.71 , 3343
AC , 5432 , 0.00 , 254
AC , 1314 , 405006.67 , 39844
AC , 1313 , 399354.02 , 18395
AC , 1399 , 0.00 , 5
AC , 1311 , 0.00 , 139
AC , 2580 , 3545.60 , 2011
AC , 4325 , 10780.00 , 1199
AC , 1101 , 5058.00 , 206
AC , 1331 , 736866.25 , 20876
AC , 1333 , 249439.40 , 9896
AC , 5555 , 3467.40 , 205
AC , 4567 , 32564.00 , 4518
AC , 4500 , 43481.85 , 4104
AC , 2533 , 3754.00 , 663
AC , 4545 , 125273.14 , 23466
AC , 4444 , 135993.84 , 11229
AC , 3333 , 19271.14 , 668
AC , 4399 , 13447.07 , 838
AC , 1555 , 657090.41 , 18372
AC , 2555 , 4656.00 , 1135
AC , 2577 , 4517.76 , 525
AC , 1365 , 0.00 , 135
AC , 2020 , 630276.03 , 12126
AC , 7088 , 0.00 , 345
AC , 1515 , 321399.93 , 20339
AC , 2515 , 1520.00 , 145
AC , 2511 , 7030.00 , 10306
AL , 1144 , 2400.00 , 0
AL , 2845 , 4522.85 , 116
AL , 3656 , 0.00 , 149
AL , 5500 , 6718.40 , 1685
AL , 2525 , 32349.84 , 1519
AL , 1111 , 1534007.44 , 98231
AL , 1077 , 2133.60 , 2776
AL , 1444 , 118005.81 , 6366
AL , 2014 , 45191.99 , 758
AL , 1313 , 525799.99 , 53284
AL , 2850 , 0.00 , 427
AL , 2855 , 43674.73 , 3782
AL , 4333 , 1500.00 , 271
AL , 3333 , 9653.45 , 7464
AL , 3131 , 37829.65 , 1577
AL , 4566 , 432515.76 , 8515
AL , 3644 , 0.00 , 211
AL , 1551 , 0.00 , 261
AL , 1555 , 61670.10 , 2190
AL , 2555 , 1200.00 , 709
AL , 1556 , 91620.00 , 4798
AL , 2311 , 6893.80 , 5836
AL , 1414 , 141506.87 , 5027
AL , 5010 , 2750.40 , 2573
AL , 1122 , 34387.50 , 8596
AL , 9090 , 1323921.12 , 82582
AL , 2777 , 0.00 , 1159
AL , 2828 , 10200.00 , 2349
AL , 4555 , 53017.08 , 5280
AL , 2820 , 0.00 , 35
AL , 4553 , 4422.08 , 61
AL , 3300 , 1000.00 , 186
AL , 4044 , 0.00 , 341
AL , 4040 , 0.00 , 483
AL , 2266 , 2281353.43 , 76706
AL , 1011 , 15658.40 , 1768
AL , 1013 , 900.00 , 0
AL , 2323 , 1310049.35 , 13986
AL , 5001 , 0.00 , 145
AL , 5000 , 1176.50 , 1755
AL , 5005 , 110.00 , 109
AL , 1133 , 2400.00 , 0
AL , 7788 , 6520.30 , 0
AL , 2838 , 39779.51 , 4568
AL , 3311 , 800.00 , 508
AL , 2835 , 1500.00 , 20
AL , 3312 , 1000.00 , 44
AL , 4545 , 1897203.49 , 119582
AL , 5578 , 4000.00 , 102
AL , 4512 , 2360.00 , 1093
AL , 1533 , 147585.25 , 10307
AL , 2888 , 228569.14 , 58095
AL , 1001 , 0.00 , 3194
AL , 1000 , 900.00 , 1070
AL , 2299 , 2224.00 , 80
AL , 2800 , 362441.34 , 64435
AL , 2882 , 1400.00 , 0
AL , 2880 , 5530.00 , 3227
AL , 2833 , 0.00 , 181
AL , 1580 , 132080.15 , 3864
AL , 1500 , 138117.17 , 3783
AL , 1033 , 4080.40 , 206
AL , 1212 , 1828213.05 , 88125
AL , 2811 , 3500.00 , 978
AL , 2812 , 41943.91 , 12194
AL , 1200 , 15691.72 , 0
AL , 4444 , 421840.71 , 66910
AL , 7000 , 746398.16 , 27116
AL , 1599 , 217896.27 , 14553
AL , 4377 , 1500.00 , 857
AL , 2899 , 0.00 , 333
AL , 1023 , 900.00 , 0
AL , 1022 , 15445.34 , 425
AL , 1100 , 2400.00 , 0
AL , 1515 , 1262000.00 , 123317
AL , 1516 , 0.00 , 119
AL , 2356 , 1360.00 , 52
AL , 1510 , 147901.57 , 15102
AL , 1512 , 15700.00 , 281
AL , 1166 , 2400.00 , 38
AL , 3636 , 0.00 , 0
AL , 3633 , 2500.00 , 1769
AL , 5050 , 500.00 , 997
AL , 2344 , 1360.00 , 18
AL , 1052 , 0.00 , 85
AL , 2346 , 1360.00 , 0
AL , 4000 , 0.00 , 734
AL , 4513 , 4422.08 , 0
AL , 7070 , 5581.50 , 173
AL , 7777 , 835334.63 , 135929
AL , 1113 , 2400.00 , 0
AL , 1112 , 97812.04 , 3517
AL , 4550 , 7827.08 , 740
AL , 4595 , 0.00 , 72
AL , 1560 , 0.00 , 13
AL , 2505 , 14248.24 , 1901
AL , 4599 , 108941.78 , 4170
AL , 2500 , 4308.94 , 2273
AL , 2727 , 0.00 , 839
AL , 4312 , 5700.00 , 680
AL , 2870 , 51636.04 , 7188
AL , 2877 , 139719.67 , 19392
AL , 4099 , 737.16 , 662
AL , 1178 , 112106.91 , 15384
AL , 4505 , 0.00 , 54
AL , 4500 , 1012096.28 , 47097
AL , 2333 , 116555.44 , 4394
AL , 1044 , 900.00 , 0
AL , 5444 , 6014.80 , 1045
AL , 1616 , 17743.31 , 1752
AL , 4589 , 0.00 , 63
AL , 4567 , 30442.38 , 3354
AM , 1919 , 49340.00 , 2883
AM , 1234 , 32814.50 , 3595
AM , 2299 , 22120.00 , 584
AM , 1321 , 3681.81 , 110
AM , 1300 , 8192.81 , 1475
AM , 1222 , 4110.00 , 0
AM , 5011 , 8077.81 , 1448
AM , 3636 , 52268.13 , 5247
AM , 3346 , 4197.97 , 724
AM , 1122 , 1345837.75 , 71878
AM , 1344 , 2467.52 , 36
AM , 5033 , 0.00 , 352
AM , 1522 , 2900.00 , 768
AM , 5522 , 1079250.44 , 53020
AM , 4350 , 2237.50 , 0
AM , 4022 , 750.00 , 171
AM , 5525 , 706103.62 , 89453
AM , 4455 , 0.00 , 510
AM , 4432 , 1050.00 , 247
AM , 4404 , 21875.50 , 2933
AM , 3600 , 144300.90 , 6461
AM , 5050 , 1761.77 , 651
AM , 5051 , 3083.60 , 577
AM , 1900 , 155637.35 , 18950
AM , 2525 , 2408957.81 , 103904
AM , 1717 , 7900.00 , 2792
AM , 1616 , 580.00 , 652
AM , 5515 , 0.00 , 0
AM , 4413 , 1187.50 , 760
AM , 3101 , 29875.65 , 2924
AM , 4411 , 44744.10 , 5585
AM , 5077 , 1520.00 , 397
AM , 7777 , 0.00 , 520
AM , 5151 , 0.00 , 120
AM , 3300 , 5757.66 , 656
AM , 5012 , 5823.75 , 479
AM , 4405 , 0.00 , 366
AM , 4456 , 1237.50 , 300
AM , 2111 , 2000.00 , 542
AM , 1030 , 0.00 , 51
AM , 1010 , 232304.09 , 48281
AM , 1207 , 5221.00 , 783
AM , 1212 , 38321.00 , 2426
AM , 2323 , 1553728.35 , 113646
AM , 1315 , 487436.53 , 46927
AM , 5000 , 3111.90 , 672
AM , 1313 , 2430.00 , 1673
AM , 1312 , 15142.52 , 9775
AM , 4422 , 1187.50 , 162
AM , 9090 , 88866.30 , 5337
AM , 3122 , 1166.65 , 0
AM , 4044 , 750.00 , 408
AM , 1333 , 11963.85 , 1377
AM , 5555 , 1063484.50 , 166281
AM , 4310 , 1850.00 , 1443
AM , 1512 , 124578.72 , 16089
AM , 4444 , 0.00 , 1320
AM , 4445 , 837.50 , 390
AM , 4446 , 0.00 , 453
AM , 1015 , 1100.00 , 32
AM , 4040 , 23377.80 , 49275
AM , 4423 , 0.00 , 180
AM , 4545 , 5633092.26 , 250916
AM , 2014 , 8800.00 , 2033
AM , 9007 , 0.00 , 1421
AM , 1555 , 763283.58 , 62999
AM , 4050 , 750.00 , 196
AM , 6565 , 1780866.95 , 58766
AM , 1600 , 520.00 , 572
AM , 4077 , 40146.90 , 5157
AM , 5080 , 0.00 , 50
AM , 2222 , 2863263.04 , 120060
AM , 5577 , 28475.65 , 2426
AM , 2727 , 1721.00 , 520
AM , 3344 , 0.00 , 1620
AM , 1515 , 1119742.02 , 117955
AM , 3131 , 165716.00 , 16064
AM , 2100 , 100.00 , 364
AM , 1414 , 1189098.00 , 69708
AM , 7035 , 650.00 , 207
AP , 4301 , 5585.00 , 254
AP , 2716 , 720.00 , 16
AP , 7070 , 11442.40 , 10286
AP , 2323 , 34050.00 , 3093
AP , 1111 , 0.00 , 5715
AP , 5580 , 5275.00 , 2019
AP , 7755 , 384000.00 , 7300
AP , 2014 , 369491.90 , 9678
AP , 2011 , 891.00 , 80
AP , 2010 , 8044.80 , 972
AP , 2012 , 2040.00 , 886
AP , 1313 , 221720.35 , 11593
AP , 1312 , 235767.73 , 16162
AP , 2707 , 8560.03 , 5291
AP , 2855 , 128371.34 , 3531
AP , 2700 , 720.00 , 65
AP , 3333 , 600.00 , 0
AP , 3131 , 600.00 , 452
AP , 6566 , 482000.00 , 8707
AP , 7788 , 3100.00 , 241
AP , 1410 , 12613.90 , 1972
AP , 2790 , 2083.40 , 889
AP , 1380 , 24915.27 , 4362
AP , 5011 , 1300.00 , 0
AP , 5013 , 1300.00 , 458
AP , 9098 , 201780.60 , 8515
AP , 4321 , 2051.90 , 751
AP , 9090 , 34700.90 , 6756
AP , 2828 , 11839.90 , 629
AP , 9012 , 0.00 , 1312
AP , 4040 , 263920.10 , 21108
AP , 5569 , 1760.00 , 1824
AP , 5412 , 413632.50 , 7564
AP , 5566 , 0.00 , 460
AP , 2789 , 1345.00 , 14
AP , 4411 , 34493.16 , 4818
AP , 1256 , 9693.50 , 53
AP , 1010 , 89373.20 , 13798
AP , 1234 , 11068.30 , 1324
AP , 2525 , 8430.00 , 210
AP , 1236 , 0.00 , 7443
AP , 5000 , 1300.00 , 0
AP , 1230 , 8564.00 , 30
AP , 5005 , 1900.00 , 238
AP , 5008 , 1739.90 , 0
